frame,x,y
532,246,351
533,257,336
534,273,308
535,295,271
536,313,233
537,326,209
538,330,200
539,330,199
540,330,199
541,330,199
542,324,205
543,318,209
544,314,210
545,311,212
546,307,215
547,302,223
548,295,237
549,287,255
550,281,272
551,277,292
552,272,312
553,270,327
554,269,341
555,268,350
556,265,359
557,264,363
558,264,368
559,266,370
560,271,373
561,291,382
562,348,407
563,454,438
564,559,450
565,625,448
566,648,439
567,650,434
568,619,409
569,575,375
570,542,346
571,530,331
572,529,323
573,532,321
574,536,318
575,539,318
576,539,318
577,539,318
578,539,318
579,539,318
580,539,318
581,539,324
582,531,337
583,511,352
584,487,369
585,468,379
586,457,382
587,454,382
588,454,382
589,455,378
590,461,369
591,473,348
592,491,303
593,510,259
594,529,244
595,555,239
596,576,245
597,582,252
598,580,265
599,561,272
600,546,274
601,534,274
602,520,274
603,495,279
604,455,290
605,406,298
606,358,301
607,321,298
608,293,286
609,283,278
610,281,278
611,281,278
612,286,282
613,293,288
614,301,290
615,314,287
616,334,275
617,372,259
618,406,247
619,429,240
620,438,239
621,441,237
622,440,236
623,438,234
624,438,234
625,442,235
626,449,238
627,459,240
628,467,241
629,476,236
630,487,227
631,503,220
632,519,217
633,532,216
634,538,217
635,540,219
636,540,227
637,541,240
638,543,264
639,544,288
640,542,307
641,531,327
642,508,341
643,490,357
644,478,373
645,473,384
646,471,390
647,471,391
648,470,387
649,470,372
650,471,346
651,496,301
652,521,267
653,534,253
654,537,249
655,537,249
656,537,249
657,537,249
658,536,245
659,528,236
660,504,219
661,445,198
662,364,189
663,298,188
664,257,199
665,234,209
666,214,218
667,208,221
668,204,224
669,202,232
670,201,239
671,201,248
672,203,253
673,204,254
674,206,254
675,229,266
676,275,285
677,328,306
678,370,321
679,391,327
680,399,327
681,418,327
682,455,324
683,497,323
684,520,317
685,529,316
686,529,316
687,522,317
688,505,326
689,490,337
690,477,349
691,462,361
692,435,384
693,408,397
694,375,406
695,336,404
696,321,392
697,314,381
698,309,367
699,305,351
700,304,326
701,304,291
702,301,264
703,299,253
704,299,252
705,308,252
706,325,264
707,341,278
708,363,299
709,404,333
710,424,347
711,439,359
712,443,367
713,444,375
714,442,387
715,437,398
716,436,407
717,436,416
718,436,416
719,434,418
720,431,422
721,423,429
722,419,437
723,419,441
724,421,442
725,454,416
726,480,386
727,501,365
728,510,348
729,511,335
730,497,324
731,476,313
732,451,303
733,449,302
734,448,302
735,448,302
736,448,302
737,449,300
738,449,293
739,449,284
740,444,272
741,435,265
742,422,261
743,398,259
744,370,259
745,333,260
746,305,261
747,299,261
748,294,260
749,294,260
750,292,260
751,290,264
752,289,271
753,289,281
754,289,289
755,292,297
756,297,304
757,307,319
758,332,354
759,354,382
760,375,402
761,382,409
762,386,409
763,392,406
764,408,395
765,433,382
766,474,357
767,498,325
768,503,306
769,498,298
770,491,292
771,490,292
772,490,292
773,490,292
774,490,292
775,490,292
776,490,292
777,496,296
778,510,310
779,524,327
780,540,355
781,547,369
782,548,380
783,543,391
784,531,401
