frame,x,y
0,499,423
1,499,423
2,499,423
3,499,423
4,499,423
5,499,423
6,499,423
7,499,423
8,499,423
9,499,423
10,499,423
11,499,423
12,499,423
13,499,423
14,499,423
15,499,423
16,499,423
17,499,423
18,496,406
19,458,336
20,332,186
21,188,55
22,186,52
23,186,52
24,187,55
25,198,76
26,222,110
27,257,171
28,312,257
29,367,346
30,406,403
31,413,411
32,409,408
33,386,391
34,336,352
35,289,307
36,246,254
37,216,198
38,198,162
39,193,152
40,193,148
41,195,148
42,220,151
43,281,173
44,383,218
45,412,236
46,422,246
47,424,254
48,415,265
49,399,274
50,374,277
51,343,277
52,318,259
53,306,238
54,308,203
55,324,165
56,349,144
57,371,137
58,402,141
59,441,175
60,450,201
61,437,241
62,392,297
63,332,349
64,294,380
65,287,392
66,292,392
67,304,387
68,323,372
69,347,350
70,410,301
71,459,269
72,468,251
73,449,234
74,380,209
75,274,206
76,194,233
77,173,257
78,175,294
79,197,323
80,213,342
81,235,363
82,285,390
83,395,420
84,513,419
85,565,391
86,569,369
87,516,329
88,392,294
89,279,282
90,233,280
91,221,272
92,213,259
93,206,245
94,205,243
95,223,252
96,377,356
97,478,411
98,507,420
99,508,420
100,490,416
101,447,418
102,414,425
103,402,428
104,399,426
105,400,413
106,407,386
107,403,361
108,375,346
109,355,343
110,351,344
111,377,337
112,427,311
113,435,305
114,426,304
115,396,303
116,369,303
117,350,308
118,351,309
119,381,295
120,398,284
121,403,277
122,401,271
123,400,264
124,402,255
125,408,244
126,411,237
127,400,228
128,355,220
129,315,223
130,313,230
131,344,240
132,407,257
133,456,279
134,476,325
135,456,377
136,410,409
137,394,415
138,392,414
139,393,397
140,395,366
141,395,356
142,412,324
143,458,273
144,508,216
145,525,190
146,525,186
147,508,181
148,465,178
149,459,175
150,459,171
151,459,167
152,460,167
153,464,178
154,474,224
155,494,297
156,516,364
157,521,377
158,521,377
159,523,377
160,524,377
161,526,377
162,529,377
163,529,377
164,528,376
165,520,366
166,500,326
167,483,256
168,477,178
169,486,110
170,499,59
171,505,31
172,505,26
173,501,21
174,500,20
175,500,20
176,500,20
177,498,20
178,498,20
179,498,20
180,498,20
181,498,20
182,498,20
183,498,20
184,498,20
185,498,20
186,498,20
187,498,20
188,498,20
189,497,21
190,497,29
191,497,44
192,494,60
193,488,76
194,483,83
195,480,85
196,479,86
197,478,86
198,470,86
199,409,90
200,303,108
201,198,136
202,134,169
203,113,181
204,108,193
205,107,209
206,117,234
207,137,273
208,170,322
209,200,355
210,218,375
211,225,383
212,228,386
213,231,389
214,238,394
215,253,403
216,265,405
217,275,405
218,298,401
219,354,390
220,458,368
221,555,345
222,610,326
223,626,318
224,630,314
225,630,313
226,628,313
227,627,313
228,627,313
229,627,313
230,627,313
231,621,313
232,615,315
233,609,318
234,596,323
235,578,330
236,549,337
237,498,342
238,424,343
239,337,345
240,247,345
241,192,345
242,166,340
243,158,337
244,141,321
245,122,307
246,99,299
247,81,294
248,71,291
249,65,291
250,63,291
251,63,291
252,63,291
253,63,291
254,63,291
255,66,291
256,80,290
257,119,273
258,172,241
259,235,196
260,293,152
261,342,117
262,367,99
263,377,89
264,380,86
265,381,84
266,382,84
267,383,83
268,385,82
269,386,82
270,386,81
271,386,81
272,386,81
273,387,81
274,388,81
275,390,82
276,392,82
277,394,84
278,396,85
279,408,96
280,423,116
281,430,130
282,436,159
283,425,173
284,403,186
285,376,198
286,358,209
287,342,221
288,337,224
289,333,228
290,327,232
291,319,237
292,308,241
293,302,245
294,296,248
295,287,251
296,274,254
297,239,258
298,190,264
299,138,267
300,123,269
301,121,269
302,121,269
303,121,269
304,121,270
305,121,270
306,121,272
307,127,278
308,135,286
309,148,294
310,169,304
311,189,312
312,219,326
313,239,334
314,253,340
315,272,345
316,290,349
317,306,349
318,321,349
319,332,348
320,347,346
321,365,342
322,414,323
323,465,289
324,510,254
325,530,237
326,536,228
327,537,225
328,537,223
329,537,223
330,537,223
331,537,223
332,537,223
333,537,222
334,534,220
335,531,215
336,529,213
337,527,207
338,523,197
339,515,181
340,504,160
341,492,145
342,485,136
343,482,132
344,481,132
345,479,132
346,476,132
347,472,131
348,469,130
349,467,129
350,464,129
351,458,131
352,445,143
353,420,163
354,382,190
355,332,215
356,297,229
357,284,234
358,276,238
359,274,239
360,273,240
361,271,242
362,269,244
363,266,246
364,264,246
365,264,247
366,264,247
367,264,247
368,264,247
369,264,247
370,264,247
371,264,247
372,264,247
373,264,247
374,264,247
375,264,247
376,264,247
377,262,247
378,261,246
379,258,241
380,254,228
381,253,200
382,253,177
383,253,155
384,252,135
385,252,121
386,256,108
387,261,100
388,265,95
389,265,94
390,266,94
391,266,94
392,266,94
393,266,94
394,270,94
395,279,99
396,291,106
397,304,116
398,314,126
399,323,131
400,332,135
401,345,136
402,360,136
403,369,136
404,379,138
405,391,142
406,402,146
407,418,150
408,433,155
409,452,157
410,462,158
411,470,160
412,478,163
413,489,166
414,495,168
415,499,171
416,503,172
417,504,173
418,505,175
419,506,176
420,508,181
421,510,186
422,511,189
423,511,192
424,512,194
425,512,196
426,513,203
427,513,206
428,513,210
429,513,216
430,510,222
431,506,234
432,501,247
433,496,257
434,486,272
435,476,288
436,462,299
437,447,316
438,443,321
439,431,335
440,423,345
441,415,354
442,405,365
443,396,372
444,389,376
445,384,378
446,382,379
447,381,380
448,380,380
449,380,380
450,376,379
451,371,378
452,365,378
453,360,377
454,355,376
455,348,371
456,341,361
457,330,347
458,313,329
459,299,313
460,289,298
461,284,280
462,282,259
463,282,243
464,282,231
465,283,224
466,284,221
467,287,218
468,288,217
469,293,213
470,299,206
