frame,x,y
0,736,264
1,736,264
2,736,264
3,736,264
4,736,264
5,732,262
6,725,259
7,708,255
8,670,248
9,592,240
10,494,240
11,408,261
12,349,285
13,308,306
14,279,320
15,269,326
16,261,330
17,257,331
18,257,331
19,264,315
20,325,268
21,417,238
22,481,224
23,481,224
24,454,229
25,368,247
26,265,283
27,192,328
28,170,346
29,167,349
30,171,349
31,194,346
32,222,330
33,253,312
34,314,265
35,412,180
36,445,140
37,457,123
38,458,107
39,454,101
40,439,95
41,421,93
42,395,93
43,353,100
44,322,111
45,301,120
46,284,127
47,272,132
48,267,136
49,267,141
50,287,162
51,351,202
52,423,229
53,442,234
54,446,234
55,446,234
56,429,242
57,385,264
58,342,282
59,318,293
60,306,297
61,306,297
62,307,297
63,322,297
64,345,294
65,363,288
66,371,286
67,377,287
68,383,293
69,384,298
70,381,304
71,370,308
72,360,310
73,354,310
74,354,310
75,354,307
76,359,295
77,374,267
78,395,228
79,418,200
80,430,187
81,431,185
82,421,185
83,389,190
84,345,213
85,314,242
86,295,276
87,289,294
88,288,302
89,289,303
90,297,295
91,304,272
92,311,229
93,315,183
94,312,148
95,295,121
96,276,107
97,275,107
98,274,111
99,278,142
100,302,208
101,328,282
102,369,359
103,400,422
104,427,450
105,434,456
106,440,454
107,447,423
108,449,375
109,439,317
110,420,249
111,417,240
112,412,229
113,411,228
114,409,228
115,402,226
116,391,220
117,383,215
118,383,214
119,383,214
120,386,220
121,392,224
122,407,231
123,416,231
124,419,227
125,419,225
126,402,222
127,340,231
128,269,250
129,237,269
130,234,273
131,244,278
132,273,280
133,292,280
134,296,281
135,295,294
136,289,312
137,286,332
138,289,345
139,295,348
140,296,348
141,297,348
142,295,350
143,290,354
144,288,356
145,288,357
146,290,355
147,311,324
148,325,308
149,337,299
150,342,299
151,342,302
152,333,313
153,323,324
154,318,332
155,323,340
156,347,352
157,381,365
158,382,369
159,368,371
160,351,368
161,334,344
162,332,315
163,369,254
164,420,201
165,439,190
166,439,190
167,430,194
168,426,198
169,423,202
170,422,213
171,428,234
172,434,259
173,436,281
174,439,289
175,445,285
176,449,255
177,433,207
178,387,166
179,321,140
180,254,126
181,238,126
182,237,126
183,246,128
184,275,141
185,307,158
186,324,172
187,328,190
188,323,204
189,321,209
190,321,209
191,321,209
192,321,209
193,321,209
194,321,209
195,321,209
196,321,209
197,325,212
198,317,241
199,337,308
200,374,396
201,414,448
202,484,480
203,562,512
204,592,529
205,594,531
206,594,531
207,577,516
208,534,484
209,448,431
210,311,369
211,181,312
212,137,293
213,138,288
214,170,277
215,253,272
216,335,272
217,361,275
218,362,275
219,363,275
220,375,268
221,380,267
222,395,267
223,396,270
224,393,275
225,375,284
226,350,288
227,329,289
228,317,290
229,312,291
230,316,299
231,349,325
232,482,402
233,578,437
234,636,455
235,644,456
236,633,449
237,556,420
238,405,376
239,262,338
240,184,309
241,170,300
242,170,297
243,229,295
244,316,296
245,379,287
246,387,275
247,364,254
248,294,207
249,261,192
250,260,191
251,276,191
252,286,196
253,279,202
254,185,232
255,139,243
256,137,245
257,195,238
258,355,212
259,532,197
260,643,195
261,681,197
262,688,205
263,689,213
264,685,213
265,679,211
266,675,210
267,670,211
268,662,231
269,660,242
270,660,242
271,660,238
272,657,211
273,648,170
274,638,157
275,630,157
276,619,174
277,610,213
278,610,239
279,619,278
280,637,333
281,648,369
282,649,383
283,636,384
284,607,367
285,566,321
286,534,220
287,540,145
288,560,75
289,565,43
290,554,38
291,538,37
292,526,46
293,519,63
294,515,88
295,507,128
296,478,176
297,444,219
298,431,234
299,430,238
300,432,238
301,439,233
302,444,222
303,443,213
304,430,205
305,396,200
306,393,200
307,400,203
308,422,208
309,435,220
310,435,241
311,420,279
312,402,318
313,394,330
314,393,332
315,392,326
316,387,272
317,375,231
318,374,211
319,377,208
320,383,205
321,386,205
322,383,209
323,370,223
324,358,243
325,355,263
326,358,286
327,361,309
328,355,327
329,329,341
330,324,340
331,323,318
332,344,253
333,377,177
334,389,150
335,391,146
336,391,150
337,417,189
338,437,212
339,445,224
340,442,234
341,410,259
342,342,293
343,307,308
344,300,309
345,300,305
346,313,285
347,323,264
348,328,251
349,329,243
350,332,240
351,355,236
352,368,234
353,369,235
354,355,245
355,301,271
356,248,299
357,228,310
358,222,315
359,222,315
360,223,315
361,227,315
362,244,319
363,266,327
364,306,340
365,350,355
366,401,376
367,476,405
368,552,440
369,573,454
370,572,454
371,534,451
372,425,417
373,311,361
374,232,301
375,197,263
