frame,x,y
0,493,441
1,493,441
2,493,441
3,493,441
4,493,435
5,493,425
6,492,409
7,490,395
8,487,376
9,483,362
10,477,351
11,473,341
12,472,325
13,472,305
14,472,286
15,472,280
16,472,278
17,472,277
18,472,275
19,475,264
20,478,252
21,479,240
22,479,236
23,479,233
24,479,231
25,479,231
26,479,231
27,479,231
28,479,231
29,479,231
30,479,230
31,478,229
32,478,229
33,477,228
34,476,228
35,476,227
36,473,225
37,469,222
38,465,218
39,461,217
40,458,215
41,456,215
42,453,214
43,448,214
44,439,214
45,435,214
46,425,214
47,417,214
48,411,214
49,405,214
50,399,213
51,394,212
52,389,212
53,384,212
54,380,212
55,377,212
56,372,212
57,368,212
58,362,212
59,359,212
60,354,212
61,351,212
62,349,212
63,348,212
64,346,212
65,344,213
66,341,214
67,339,215
68,335,218
69,332,219
70,329,221
71,327,223
72,325,225
73,322,229
74,318,235
75,317,244
76,314,248
77,311,256
78,311,260
79,310,263
80,310,264
81,310,269
82,310,275
83,310,282
84,309,287
85,309,290
86,309,290
87,309,293
88,309,297
89,309,303
90,309,308
91,309,313
92,309,316
93,310,320
94,310,326
95,310,330
96,310,334
97,310,337
98,310,340
99,310,343
100,310,347
101,310,349
102,310,350
103,310,350
104,310,350
105,310,350
106,310,352
107,312,355
108,313,358
109,314,361
110,315,362
111,315,362
112,316,362
113,318,363
114,324,366
115,330,369
116,342,374
117,349,376
118,354,376
119,362,376
120,371,376
121,379,376
122,388,376
123,396,376
124,401,376
125,410,376
126,417,377
127,427,378
128,438,379
129,450,379
130,458,379
131,465,379
132,468,379
133,470,379
134,470,378
135,472,377
136,474,376
137,475,376
138,476,376
139,476,376
140,476,376
141,476,375
142,477,375
143,478,372
144,480,367
145,481,362
146,481,353
147,481,345
148,481,334
149,480,321
150,479,307
151,479,300
152,479,297
153,479,296
154,478,295
155,478,293
156,478,287
157,476,275
158,473,267
159,472,262
160,472,260
161,472,258
162,472,256
163,472,251
164,472,245
165,472,240
166,472,236
167,472,235
168,472,234
169,472,231
170,472,229
171,472,228
172,472,226
173,472,224
174,472,224
175,472,222
176,472,217
177,472,215
178,471,213
179,470,212
180,470,212
181,470,212
182,470,212
183,470,212
184,470,211
185,469,207
186,466,205
187,464,203
188,463,202
189,462,201
190,460,201
191,458,201
192,453,201
193,447,201
194,442,200
195,434,200
196,426,200
197,416,199
198,409,198
199,404,198
200,401,198
201,395,198
202,390,198
203,385,198
204,380,197
205,372,196
206,367,195
207,360,195
208,357,195
209,352,195
210,347,195
211,343,194
212,340,194
213,338,194
214,334,194
215,331,194
216,328,194
217,325,194
218,322,194
219,322,194
220,321,194
221,320,194
222,318,195
223,315,198
224,311,201
225,309,205
226,305,212
227,302,218
228,300,224
229,298,232
230,298,238
231,298,240
232,296,244
233,296,249
234,296,257
235,296,263
236,296,274
237,298,280
238,298,284
239,298,287
240,298,288
241,298,291
242,298,296
243,299,305
244,300,309
245,300,315
246,301,318
247,301,322
248,301,327
249,303,335
250,304,344
251,304,349
252,305,355
253,305,357
254,305,360
255,306,363
256,306,364
257,306,366
258,306,367
259,306,368
260,306,371
261,308,374
262,308,376
263,309,377
264,309,377
265,309,377
266,309,377
267,310,377
268,311,378
269,315,379
270,320,380
271,331,380
272,343,380
273,358,379
274,370,378
275,385,377
276,397,377
277,404,377
278,409,377
279,413,377
280,418,378
281,424,379
282,427,380
283,430,380
284,434,380
285,439,380
286,443,380
287,449,381
288,453,381
289,456,381
290,457,381
291,457,381
292,458,381
293,458,381
294,461,382
295,463,382
296,464,382
297,464,382
298,464,382
299,464,382
300,464,382
301,464,382
302,464,382
303,464,382
304,464,382
305,464,382
306,464,382
307,464,382
308,464,382
309,464,382
310,464,382
311,464,382
312,464,382
313,464,382
314,464,382
315,464,377
316,466,364
317,470,339
318,478,305
319,483,283
320,484,271
321,485,261
322,485,255
323,485,244
324,485,235
325,485,229
326,485,224
327,484,220
328,484,216
329,483,214
330,482,212
331,482,212
332,482,211
333,482,211
334,481,209
335,481,209
336,481,209
337,481,208
338,481,206
339,481,205
340,481,204
341,481,204
342,481,204
343,481,204
344,481,204
345,481,204
346,481,204
347,481,204
348,481,204
349,481,204
350,481,204
351,481,204
352,481,204
353,481,204
354,481,204
355,479,203
356,474,202
357,467,202
358,454,201
359,439,200
360,415,199
361,402,198
362,388,198
363,382,198
364,376,198
365,370,198
366,364,198
367,359,199
368,354,199
369,350,199
370,347,199
371,343,199
372,340,199
373,335,199
374,332,199
375,324,200
376,315,203
377,311,203
378,306,203
379,302,203
380,297,203
381,293,203
382,291,203
383,289,203
384,289,203
385,289,203
386,289,203
387,289,203
388,289,203
389,289,203
390,289,203
391,289,203
392,289,203
393,289,203
394,289,203
395,289,203
396,289,203
397,289,203
398,289,203
399,289,203
400,289,203
401,289,207
402,289,224
403,290,250
404,290,278
405,290,305
406,289,321
407,288,327
408,287,333
409,286,335
410,285,339
411,285,342
412,284,347
413,284,357
414,283,365
415,282,374
416,282,378
417,282,381
418,281,383
419,281,387
420,281,389
421,281,393
422,281,400
423,281,404
424,281,405
425,281,408
426,281,410
427,281,410
428,281,411
429,281,411
430,281,411
431,281,411
432,281,411
433,281,411
434,281,411
435,281,411
436,281,411
437,281,411
438,281,411
