frame,x,y
0,547,410
1,547,410
2,547,410
3,547,409
4,547,408
5,546,407
6,546,407
7,546,406
8,546,403
9,550,389
10,558,370
11,564,347
12,567,334
13,567,323
14,568,312
15,565,294
16,560,281
17,551,261
18,539,246
19,528,236
20,521,227
21,515,223
22,511,220
23,508,218
24,506,215
25,504,214
26,503,213
27,501,212
28,499,211
29,497,209
30,494,207
31,489,204
32,485,202
33,481,200
34,477,200
35,473,198
36,467,198
37,463,198
38,458,198
39,451,198
40,446,198
41,441,198
42,440,199
43,435,200
44,435,200
45,433,200
46,431,202
47,429,202
48,427,202
49,425,203
50,423,204
51,420,204
52,418,205
53,416,205
54,412,206
55,408,207
56,398,209
57,392,209
58,388,209
59,384,210
60,381,211
61,378,211
62,375,211
63,371,213
64,369,213
65,366,213
66,362,214
67,359,214
68,356,215
69,350,218
70,346,219
71,342,222
72,335,227
73,329,233
74,323,240
75,316,250
76,311,257
77,309,266
78,306,275
79,304,280
80,302,285
81,302,292
82,302,299
83,302,310
84,304,315
85,305,321
86,307,325
87,310,332
88,312,339
89,313,345
90,316,351
91,320,359
92,332,375
93,336,379
94,345,388
95,350,392
96,354,394
97,359,397
98,368,402
99,383,407
100,398,411
101,406,411
102,412,410
103,417,406
104,423,400
105,429,393
106,435,385
107,443,373
108,451,361
109,458,349
110,464,338
111,469,333
112,472,328
113,475,322
114,478,314
115,479,308
116,480,298
117,480,286
118,475,267
119,470,256
120,467,249
121,464,241
122,460,233
123,456,228
124,454,224
125,451,221
126,449,218
127,446,216
128,444,215
129,439,211
130,433,207
131,430,205
132,417,199
133,410,197
134,405,196
135,402,195
136,398,193
137,392,191
138,385,190
139,377,187
140,369,187
141,363,186
142,358,186
143,354,186
144,350,186
145,345,187
146,336,189
147,331,191
148,323,193
149,317,198
150,311,203
151,305,212
152,296,227
153,291,242
154,285,253
155,282,261
156,282,265
157,280,268
158,280,273
159,280,279
160,280,285
161,280,294
162,280,302
163,280,308
164,280,312
165,280,314
166,280,320
167,280,320
168,281,328
169,282,334
170,285,342
171,287,348
172,290,354
173,293,357
174,294,358
175,295,359
176,298,361
177,302,364
178,306,367
179,309,370
180,314,373
181,318,374
182,323,377
183,328,380
184,335,383
185,341,386
186,346,387
187,350,389
188,355,390
189,359,390
190,364,390
191,368,390
192,371,390
193,376,387
194,381,384
195,386,381
196,389,379
197,391,379
198,393,377
199,397,375
200,402,372
201,406,368
202,411,364
203,413,362
204,415,361
205,416,361
206,418,360
207,420,358
208,425,354
209,430,350
210,435,348
211,440,346
212,441,346
213,443,344
214,450,339
215,458,331
216,468,320
217,474,302
218,479,289
219,481,269
220,481,257
221,481,242
222,481,232
223,479,223
224,478,220
225,476,213
226,475,211
227,474,210
228,473,208
229,470,206
230,468,203
231,461,198
232,456,194
233,450,191
234,445,188
235,439,186
236,435,184
237,432,183
238,428,182
239,425,182
240,423,182
241,415,181
242,406,181
243,398,181
244,392,181
245,385,181
246,383,181
247,380,182
248,376,184
249,370,185
250,364,189
251,359,190
252,354,193
253,349,196
254,342,200
255,335,204
256,328,211
257,321,214
258,313,219
259,307,224
260,303,227
261,299,229
262,296,232
263,294,234
264,292,235
265,289,237
266,287,239
267,284,242
268,279,249
269,276,255
270,275,260
271,272,270
272,271,277
273,270,286
274,271,296
275,273,308
276,278,321
277,281,327
278,285,332
279,288,338
280,292,344
281,298,351
282,303,357
283,307,362
284,314,369
285,319,374
286,329,381
287,336,388
288,342,393
289,346,395
290,347,397
291,349,398
292,352,401
293,357,404
294,365,409
295,369,411
296,373,411
297,377,411
298,381,408
299,390,399
300,402,387
301,421,368
302,435,354
303,443,348
304,452,344
