frame,x,y
0,484,148
1,484,148
2,484,148
3,484,148
4,484,148
5,484,148
6,484,148
7,484,148
8,484,148
9,484,148
10,484,148
11,484,148
12,484,148
13,484,149
14,484,150
15,484,150
16,484,150
17,484,150
18,484,150
19,485,153
20,487,156
21,489,160
22,490,161
23,491,162
24,491,162
25,491,162
26,491,162
27,491,162
28,491,162
29,491,162
30,491,163
31,491,163
32,491,163
33,491,163
34,491,163
35,491,163
36,491,163
37,491,163
38,491,163
39,491,163
40,491,163
41,491,163
42,491,163
43,491,163
44,491,163
45,491,163
46,491,163
47,491,167
48,490,176
49,488,183
50,485,192
51,483,198
52,481,205
53,479,211
54,477,221
55,473,227
56,468,234
57,459,244
58,446,253
59,442,257
60,439,258
61,434,260
62,422,261
63,404,263
64,386,266
65,367,275
66,350,281
67,337,286
68,322,290
69,307,294
70,285,298
71,245,307
72,221,314
73,199,319
74,186,322
75,180,322
76,178,321
77,181,314
78,197,293
79,233,259
80,279,214
81,374,140
82,423,122
83,452,126
84,473,138
85,490,152
86,498,162
87,499,168
88,500,173
89,497,182
90,485,209
91,481,230
92,475,252
93,465,276
94,455,292
95,447,298
96,440,301
97,433,301
98,414,295
99,391,273
100,324,209
101,299,191
102,283,185
103,273,184
104,257,187
105,231,202
106,203,219
107,189,234
108,186,248
109,197,274
110,231,314
111,283,363
112,342,399
113,372,415
114,392,421
115,396,421
116,396,421
117,389,421
118,363,421
119,309,416
120,236,395
121,147,358
122,49,308
123,49,308
124,0,238
125,0,238
126,0,238
127,0,238
128,0,238
129,22,294
130,104,336
131,199,367
132,321,417
133,362,436
134,375,443
135,380,445
136,379,446
137,368,447
138,341,447
139,327,446
140,262,442
141,207,434
142,157,423
143,141,421
144,140,421
145,145,421
146,169,421
147,215,403
148,276,365
149,356,320
150,439,286
151,522,268
152,532,268
153,541,269
154,541,272
155,532,276
156,509,276
157,462,265
158,377,233
159,256,200
160,136,163
161,43,128
162,5,105
163,0,94
164,0,94
165,0,94
166,0,94
167,0,94
168,0,94
169,0,94
170,0,94
171,8,72
172,15,70
173,19,69
174,23,69
175,38,75
176,98,110
177,190,172
178,275,233
179,324,268
180,343,283
181,349,289
182,349,291
183,346,292
184,339,294
185,331,295
186,330,287
187,342,246
188,375,197
189,411,166
190,448,143
191,467,133
192,472,131
193,472,131
194,465,143
195,456,182
196,436,250
197,407,339
198,390,364
199,368,376
200,341,381
201,313,379
202,303,376
203,303,376
204,303,376
205,303,376
206,303,376
207,301,368
208,297,335
209,296,324
210,312,319
211,371,325
212,435,339
213,491,353
214,550,368
215,606,388
216,632,400
217,645,403
218,644,403
219,626,404
220,585,404
221,511,403
222,419,402
223,323,396
224,231,386
225,158,365
226,114,354
227,96,348
228,90,344
229,90,344
230,94,339
231,102,330
232,114,309
233,133,295
234,160,278
235,190,264
236,226,246
237,254,227
238,279,203
239,293,191
240,297,187
241,298,187
242,298,188
243,302,198
244,313,225
245,330,256
246,352,284
247,381,310
248,431,357
249,454,377
250,461,386
251,461,389
252,461,390
253,459,390
254,459,390
255,459,390
256,461,389
257,470,383
258,484,369
259,495,349
260,504,323
261,507,290
262,499,266
263,485,246
264,474,233
265,468,225
266,464,216
267,459,204
268,454,179
269,453,171
270,452,157
271,453,148
272,455,144
273,457,138
274,458,134
275,458,129
276,458,125
277,458,124
278,459,123
279,463,123
280,468,123
281,457,132
282,381,158
283,178,187
284,178,187
285,0,229
286,0,229
287,0,229
288,0,229
289,0,229
290,0,229
291,0,229
292,0,229
293,0,229
294,0,229
295,0,229
296,0,229
297,0,229
298,23,448
299,35,450
300,43,447
301,51,431
302,60,389
303,82,316
304,131,241
305,208,185
306,233,169
307,239,166
308,239,166
309,233,170
310,215,188
311,193,235
312,176,302
313,173,368
314,174,411
315,180,430
316,185,440
317,190,446
318,200,452
319,219,463
320,268,483
321,302,489
322,343,483
323,380,462
324,400,441
325,411,431
326,416,424
327,417,423
328,417,420
329,412,415
330,406,406
331,402,398
332,400,390
333,401,382
334,411,372
335,435,346
336,457,326
337,494,297
338,543,264
339,585,240
340,614,225
341,628,218
342,631,215
343,631,215
344,631,215
345,630,216
346,622,230
347,607,258
348,584,305
349,542,370
350,499,435
351,461,492
352,431,529
353,414,546
354,406,552
355,404,552
356,404,552
357,404,551
358,405,547
359,406,542
360,404,516
361,389,482
362,360,432
363,326,385
364,287,339
365,243,299
366,185,266
367,121,240
368,88,235
369,78,240
370,76,245
371,74,250
372,74,254
373,76,258
374,77,260
375,89,267
376,136,298
377,211,349
378,293,409
379,354,454
380,384,465
381,391,466
382,393,466
383,393,466
384,393,467
385,393,474
386,388,479
387,378,483
388,362,483
389,344,479
390,323,472
391,310,466
392,309,464
393,309,461
394,324,445
395,360,400
396,420,342
397,474,308
398,510,296
399,536,297
400,552,312
401,556,340
402,538,359
403,520,373
404,508,375
405,501,375
406,499,372
407,500,364
408,506,344
409,516,317
410,535,276
411,557,231
412,581,204
413,600,189
414,610,185
415,614,194
416,618,219
417,616,268
418,594,347
419,557,440
420,510,546
421,510,546
422,402,599
423,402,599
424,402,599
425,402,599
426,402,599
427,402,599
428,402,599
429,197,529
430,121,431
431,22,330
