frame,x,y
0,496,273
1,496,268
2,495,266
3,493,262
4,491,251
5,491,245
6,492,241
7,491,237
8,486,233
9,479,230
10,476,228
11,475,227
12,469,244
13,433,297
14,360,360
15,284,396
16,244,404
17,240,403
18,261,375
19,349,305
20,443,245
21,461,234
22,459,234
23,431,251
24,380,296
25,342,337
26,327,362
27,326,368
28,332,371
29,339,370
30,341,370
31,342,370
32,371,371
33,403,371
34,437,352
35,449,338
36,440,325
37,423,313
38,407,306
39,396,302
40,377,300
41,335,292
42,276,277
43,252,268
44,251,266
45,275,261
46,367,255
47,416,266
48,439,281
49,462,300
50,486,313
51,510,319
52,524,320
53,525,320
54,515,319
55,457,315
56,380,312
57,325,310
58,305,304
59,300,290
60,295,247
61,285,205
62,283,187
63,293,185
64,321,192
65,376,223
66,445,260
67,458,274
68,460,286
69,452,312
70,433,346
71,412,367
72,384,384
73,351,391
74,319,393
75,300,386
76,294,376
77,296,359
78,307,336
79,344,267
80,390,217
81,434,196
82,463,194
83,489,209
84,507,231
85,513,254
86,514,275
87,505,299
88,477,329
89,442,350
90,394,362
91,336,363
92,263,344
93,169,300
94,155,281
95,159,268
96,184,259
97,226,254
98,274,263
99,347,300
100,450,351
101,558,397
102,614,419
103,620,420
104,590,403
105,499,354
106,418,314
107,378,293
108,368,278
109,364,269
110,363,252
111,361,235
112,358,225
113,358,224
114,366,225
115,379,229
116,386,235
117,386,237
118,383,243
119,374,257
120,371,270
121,369,285
122,367,295
123,364,300
124,359,306
125,351,313
126,352,317
127,368,321
128,412,311
129,460,282
130,488,255
131,500,239
132,504,233
133,504,233
134,501,244
135,489,260
136,470,271
137,453,278
138,452,278
139,452,279
140,457,283
141,460,290
142,460,295
143,461,296
144,461,296
145,461,276
146,461,235
147,461,208
148,460,195
149,457,189
150,457,188
151,457,188
152,463,201
153,465,220
154,464,244
155,457,269
156,451,292
157,451,300
158,451,300
159,451,297
160,453,274
161,453,238
162,449,206
163,449,186
164,449,178
165,455,176
166,459,184
167,464,207
168,467,233
169,468,255
170,469,277
171,469,295
172,467,309
173,466,321
174,466,321
175,464,297
176,449,236
177,423,186
178,406,169
179,401,164
180,401,164
181,402,172
182,409,196
183,418,229
184,428,277
185,433,338
186,433,399
187,428,409
188,420,407
189,405,387
190,385,359
191,343,314
192,297,282
193,253,259
194,227,253
195,208,252
196,198,252
197,198,252
198,198,252
199,212,246
200,234,242
201,264,240
202,287,239
203,306,241
