frame,x,y
0,768,194
1,768,194
2,768,194
3,768,194
4,768,194
5,768,194
6,768,194
7,768,194
8,768,194
9,768,194
10,768,194
11,768,194
12,768,194
13,768,194
14,767,194
15,760,196
16,725,206
17,684,223
18,626,256
19,561,286
20,487,311
21,438,325
22,409,336
23,389,355
24,368,388
25,345,430
26,335,455
27,333,458
28,337,438
29,353,383
30,372,312
31,387,280
32,394,262
33,397,255
34,395,252
35,372,251
36,310,257
37,240,275
38,215,288
39,215,293
40,234,296
41,345,291
42,369,287
43,373,285
44,357,283
45,299,283
46,236,291
47,211,296
48,209,296
49,209,296
50,212,297
51,226,302
52,241,312
53,266,331
54,285,347
55,311,366
56,323,374
57,328,378
58,328,380
59,324,383
60,309,386
61,300,386
62,299,384
63,306,372
64,323,352
65,343,327
66,354,308
67,356,295
68,345,287
69,322,282
70,287,277
71,253,273
72,241,273
73,241,273
74,241,273
75,248,275
76,264,277
77,268,278
78,268,278
79,267,278
80,257,281
81,253,283
82,253,284
83,261,286
84,286,287
85,292,287
86,292,287
87,274,295
88,233,314
89,208,329
90,203,332
91,208,332
92,262,315
93,355,282
94,422,254
95,432,247
96,428,247
97,393,247
98,346,253
99,328,258
100,326,259
101,327,260
102,341,262
103,360,262
104,365,263
105,366,263
106,366,271
107,365,279
108,364,282
109,363,284
110,363,285
111,363,286
112,364,288
113,365,290
114,367,293
115,369,295
116,372,297
117,379,297
118,396,292
119,437,276
120,486,257
121,490,256
122,490,256
123,396,288
124,285,320
125,192,353
126,162,368
127,161,368
128,175,369
129,201,362
130,227,353
131,242,346
132,257,335
133,291,309
134,363,250
135,443,186
136,510,126
137,559,80
138,596,44
139,621,20
140,645,1
141,657,0
142,657,0
143,657,0
144,657,0
145,657,0
146,657,0
147,657,0
148,657,0
149,657,0
150,657,0
151,657,0
152,657,0
153,657,0
154,657,0
155,657,0
156,657,0
157,657,0
158,657,0
159,657,0
160,657,0
161,657,0
162,657,0
163,657,0
164,657,0
165,657,0
166,657,0
167,657,0
168,657,0
169,657,0
170,657,0
171,657,0
172,657,0
